"Name","Vendor","Version"
"HP ProLiant iLO 3/4 Management Controller Package","3.20.0.0","Hewlett-Packard Company"
"HP ProLiant iLO 3/4 Channel Interface Driver","3.10.0.0","Hewlett-Packard Company"
"HPE ProLiant Agentless Management Service","10.40.0.0","Hewlett Packard Enterprise Development LP"
"Symantec Backup Exec (TM) 15","14.2.1180","Symantec Corporation"
"Symantec Backup Exec (Feature Pack 5)","","Symantec Corporation"
"Symantec Backup Exec (Hotfix 116730)","","Symantec Corporation"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation"
"Microsoft SQL Server VSS Writer","10.52.4000.0","Microsoft Corporation"
"Symantec Backup Exec (Hotfix 116031)","","Symantec Corporation"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation"
"Symantec Endpoint Protection","12.1.6860.6400","Symantec Corporation"
"Microsoft SQL Server 2008 R2 Native Client","10.52.4000.0","Microsoft Corporation"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","Microsoft Corporation"
"Symantec Backup Exec (Hotfix 115844)","","Symantec Corporation"
"HP Smart Storage Administrator","2.0.23.0","Hewlett-Packard Development Company, L.P."
"Symantec Backup Exec (Hotfix 126145)","","Symantec Corporation"
"Microsoft Office Enterprise 2007","12.0.4518.1014","Microsoft Corporation"
"HPE Library and Tape Tools","4.26.7","Hewlett Packard Enterprise"
"LiveUpdate 3.3 (Symantec Corporation)","3.3.100.15","Symantec Corporation"
"Matrox Graphics Software (remove only)","4.1.2.2","Matrox Graphics Inc."
"PowerISO","5.4","Power Software Ltd"
"HPE System Management Homepage","7.6.0","Hewlett Packard Enterprise Development LP"
"Microsoft Visual C++ 2005 Redistributable","8.0.61001","Microsoft Corporation"
"Microsoft ReportViewer 2010 SP1 Redistributable","10.0.40219","Microsoft Corporation"
"Microsoft SQL Server 2008 R2 Setup (English)","10.52.4000.0","Microsoft Corporation"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610","11.0.60610.1","Microsoft Corporation"
"Adobe Acrobat Reader DC","17.009.20044","Adobe Systems Incorporated"
"HPE Library and Tape Tools","4.26.7","Hewlett Packard Enterprise"
"Microsoft SQL Server Browser","10.52.4000.0","Microsoft Corporation"
"Microsoft SQL Server 2008 Setup Support Files","10.1.2731.0","Microsoft Corporation"
"VMware vCenter Converter Standalone","6.2.0.7348398","VMware, Inc."
"Windows Assessment and Deployment Kit for Windows 8.1","8.100.26866","Microsoft Corporation"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation"
